Paper_Name,Importance,Hemisphere,Anatomical_Region,Metric_Class,Metric_Name,Feature
Right Subiculum_Head - FIRSTORDER: Maximum,0.0065410036295543,Right,Subiculum_Head,firstorder,Maximum,R_Hippo_Label234_firstorder_Maximum
Right Parasubiculum - FIRSTORDER: InterquartileRange,0.0054768772995059,Right,Parasubiculum,firstorder,InterquartileRange,R_Hippo_Label203_firstorder_InterquartileRange
Right Cortical - GLSZM: GrayLevelVariance,0.0046069813174509,Right,Cortical,glszm,GrayLevelVariance,R_Hippo_Label7007_glszm_GrayLevelVariance
Right Anterior_amygdaloid_area_AAA - FIRSTORDER: Maximum,0.0045547266116634,Right,Anterior_amygdaloid_area_AAA,firstorder,Maximum,R_Hippo_Label7015_firstorder_Maximum
Right HATA - GLCM: Imc1,0.0042316706711466,Right,HATA,glcm,Imc1,R_Hippo_Label239_glcm_Imc1
Right Hippocampal_fissure - FIRSTORDER: 90Percentile,0.0041633688264246,Right,Hippocampal_fissure,firstorder,90Percentile,R_Hippo_Label215_firstorder_90Percentile
Right Accessory_Basal - GLCM: ClusterTendency,0.0038908137957483,Right,Accessory_Basal,glcm,ClusterTendency,R_Hippo_Label7005_glcm_ClusterTendency
Right Accessory_Basal - SHAPE: Maximum2DDiameterColumn,0.0037873628159839,Right,Accessory_Basal,shape,Maximum2DDiameterColumn,R_Hippo_Label7005_shape_Maximum2DDiameterColumn
Left Anterior_amygdaloid_area_AAA - FIRSTORDER: Kurtosis,0.0034638433261341,Left,Anterior_amygdaloid_area_AAA,firstorder,Kurtosis,L_Hippo_Label7015_firstorder_Kurtosis
Left Basal - GLRLM: RunEntropy,0.0034616663902984,Left,Basal,glrlm,RunEntropy,L_Hippo_Label7003_glrlm_RunEntropy
Left HATA - FIRSTORDER: 90Percentile,0.0032921497662455,Left,HATA,firstorder,90Percentile,L_Hippo_Label211_firstorder_90Percentile
Right Amygdala_Basal - GLCM: Imc1,0.0031564809341097,Right,Amygdala_Basal,glcm,Imc1,R_Hippo_Label242_glcm_Imc1
Right Cortical - SHAPE: Sphericity,0.002903869742627,Right,Cortical,shape,Sphericity,R_Hippo_Label7007_shape_Sphericity
Left Amygdala_Medial - GLCM: Autocorrelation,0.0028931107900177,Left,Amygdala_Medial,glcm,Autocorrelation,L_Hippo_Label246_glcm_Autocorrelation
Left Parasubiculum - GLRLM: LongRunHighGrayLevelEmphasis,0.0028331253624,Left,Parasubiculum,glrlm,LongRunHighGrayLevelEmphasis,L_Hippo_Label203_glrlm_LongRunHighGrayLevelEmphasis
Right Amygdala_AccessoryBasal - FIRSTORDER: Maximum,0.0026648242600216,Right,Amygdala_AccessoryBasal,firstorder,Maximum,R_Hippo_Label243_firstorder_Maximum
Right Hippocampal_tail - FIRSTORDER: Energy,0.0023346266066883,Right,Hippocampal_tail,firstorder,Energy,R_Hippo_Label226_firstorder_Energy
Right Hippocampal_fissure - GLDM: DependenceEntropy,0.0021992919201203,Right,Hippocampal_fissure,gldm,DependenceEntropy,R_Hippo_Label215_gldm_DependenceEntropy
Left Anterior_amygdaloid_area_AAA - FIRSTORDER: Skewness,0.0017730739830922,Left,Anterior_amygdaloid_area_AAA,firstorder,Skewness,L_Hippo_Label7015_firstorder_Skewness
Left Basal - GLDM: LowGrayLevelEmphasis,0.0016642518575902,Left,Basal,gldm,LowGrayLevelEmphasis,L_Hippo_Label7003_gldm_LowGrayLevelEmphasis
Right Central - GLCM: ClusterShade,0.0013818208753082,Right,Central,glcm,ClusterShade,R_Hippo_Label7006_glcm_ClusterShade
Left Accessory_Basal - GLSZM: GrayLevelNonUniformity,0.0012650006472236,Left,Accessory_Basal,glszm,GrayLevelNonUniformity,L_Hippo_Label7005_glszm_GrayLevelNonUniformity
Left GC_ML_DG_Head - FIRSTORDER: Skewness,0.0012618157082439,Left,GC_ML_DG_Head,firstorder,Skewness,L_Hippo_Label238_firstorder_Skewness
Left Presubiculum_Head - GLDM: DependenceNonUniformityNormalized,0.0009990232140189,Left,Presubiculum_Head,gldm,DependenceNonUniformityNormalized,L_Hippo_Label233_gldm_DependenceNonUniformityNormalized
Right CA3_Head - FIRSTORDER: Maximum,0.0009596822706936,Right,CA3_Head,firstorder,Maximum,R_Hippo_Label236_firstorder_Maximum
Left HATA - GLCM: MCC,0.0008611260554292,Left,HATA,glcm,MCC,L_Hippo_Label211_glcm_MCC
Left Fimbria - NGTDM: Strength,0.0008299612160421,Left,Fimbria,ngtdm,Strength,L_Hippo_Label212_ngtdm_Strength
Left Subiculum_Head - GLDM: DependenceNonUniformityNormalized,0.0006886364205599,Left,Subiculum_Head,gldm,DependenceNonUniformityNormalized,L_Hippo_Label234_gldm_DependenceNonUniformityNormalized
Left Cortical - GLDM: SmallDependenceLowGrayLevelEmphasis,0.0001921960880746,Left,Cortical,gldm,SmallDependenceLowGrayLevelEmphasis,L_Hippo_Label7007_gldm_SmallDependenceLowGrayLevelEmphasis
Right Amygdala_AccessoryBasal - FIRSTORDER: Range,3.92259446101014e-06,Right,Amygdala_AccessoryBasal,firstorder,Range,R_Hippo_Label243_firstorder_Range
Right Hippocampal_tail - FIRSTORDER: TotalEnergy,3.898888536237544e-07,Right,Hippocampal_tail,firstorder,TotalEnergy,R_Hippo_Label226_firstorder_TotalEnergy
